einen Gefallen tun	do a favor — Phrase
Kannst du mir einen Gefallen tun?	Can you do me a favor? — Full sentence, question
die Blumen gießen	water the flowers — Phrase
der Alarm geht an	the alarm goes off — Full sentence, noun: der Alarm
die Einbrecher	the burglars — Noun, plural
das Grundstück	the property — Noun, neuter
der Boiler	the boiler — Noun, masculine
er war als Weihnachtsmann verkleidet	he was dressed as Santa Claus — Full sentence
die Stadtverwaltung	the city administration — Noun, feminine
Wie bereitest du dich auf die Reise vor?	How do you prepare for the trip? — Full sentence, question
Ich bereite mich vor, indem ich zwölf Reiseführer lese und auswendig lerne.	I prepare by reading and memorizing twelve guidebooks. — Full sentence
Durch das Lesen und Auswendiglernen von zwölf Reiseführern bereite ich mich auf die Reise vor.	Through reading and memorizing twelve guidebooks, I prepare for the trip. — Full sentence
Ich lese 12 Reiseführer. Dadurch bereite ich mich auf die Reise vor.	I read 12 guidebooks. This is how I prepare for the trip. — Full sentence
Wie kann man dir eine Freude machen?	How can one make you happy? — Full sentence, question
Was kann man dir Gutes tun	What good can be done for you — Phrase, question
Wie machst du Viktor eine Freude?	How do you make Viktor happy? — Full sentence, question
Ich habe Viktor eine Freude gemacht, indem ich ihm ein paar Videospiele von der W. gekauft habe.	I made Viktor happy by buying him a few video games from his wishlist. — Full sentence
Durch den Kauf ein paar Videospiele von Viktors Wunschliste habe ich ihm eine Freude gemacht.	By buying a few video games from Viktor’s wishlist, I made him happy. — Full sentence
Ich habe ihm ein paar Videospiele von der Wunschliste gekauft. Dadurch habe ich ihm eine Freude gemacht.	I bought him a few video games from the wishlist. This is how I made him happy. — Full sentence
Statt die Daten auf der Arbeit zu verifizieren, hätte Jae lieber sein Videospiel weiterentwickelt.	Instead of verifying the data at work, Jae would have preferred to further develop his video game. — Full sentence
Statt der Datenverifizierung auf der Arbeit hätte Jae lieber sein Videospiel weiterentwickelt.	Instead of data verification at work, Jae would have preferred to further develop his video game. — Full sentence
Jae hat die Daten auf der Arbeit verifiziert. Stattdessen hätte er lieber sein V. weiterentwickelt.	Jae verified the data at work. Instead, he would have preferred to further develop his video game. — Full sentence
