er ist einem normalen Kürbis sehr ähnlich	he is very similar to a normal pumpkin — Satz; benutzt 'Kürbis' (maskulin)
er ist fast genau so wie ein normaler Kürbis	he is almost just like a normal pumpkin — Satz; benutzt 'Kürbis' (maskulin)
man schneidet sie in der Mitte durch	one cuts them in the middle — Satz
dann kann man die beiden Kürbishälften in den Backofen tun/ schieben	then you can put both pumpkin halves in the oven — Satz; benutzt 'Kürbishälften' (plural, feminin)
bei 220 Grad	at 220 degrees — Phrase
dann ist er weich	then he is soft — Satz
das Auslöffeln	to scoop out — Verb
in Würfel schneiden	cut into cubes — Phrase
bequem	comfortable — Adjektiv
viel anderes gesundes Essen	a lot of other healthy food — Phrase
weil man etwas Butter hinzufügen kann	because you can add some butter — Satz
Ich stimme dir zu.	I agree with you. — Satz
Genau!	Exactly! — Interjektion
ich nehme mir die Zeit	I take the time — Satz
an einem besonderen Tag	on a special day — Phrase
