bis zum Monatsende	by the end of the month — Phrase
ich habe das Programm erweitert	I have expanded the program — Phrase, Verb (erweitern)
hochladen	to upload — Verb
die ihr beide sprechen könnt	that you both can speak — Phrase
ich habe den Code geändert	I have changed the code — Phrase, Verb (ändern)
überprüfen	to check — Verb
es erlaubt einem, eine Antwort von Chat GPT direkt im Programm zu bekommen	it allows one to get an answer from Chat GPT directly in the program — Phrase, Verb (erlauben)
Viele solche Dinge passieren auch mit...	Many such things also happen with... — Phrase
die Sicherheitslücke	security vulnerability — Noun, Feminine
du kannst nicht nur die Tür öffnen, sondern auch den Motor zünden	you can not only open the door, but also ignite the engine — Phrase, Verb (zünden)
"""Den Motor zünden"" bedeutet, das Kraftstoff-Luft-Gemisch im Motor zu entzünden, damit er seine Arbeit aufnehmen kann."	"""Igniting the engine"" means igniting the fuel-air mixture in the engine so it can start working. — Explanation"
den Motor einschalten	to turn on the engine — Phrase, Verb (einschalten)
es ist in Mode, größere Autos zu kaufen	it is fashionable to buy bigger cars — Phrase
die Schrebergärten	allotment gardens — Noun, Plural, Masculine
die Elendshütten	shanty towns — Noun, Plural, Feminine
seit ihrer Kindheit	since her childhood — Phrase
aufgewertet/ abgewertet werden	to be upgraded/ downgraded — Phrase, Verb
etwas anzünden: Feuer machen	to ignite something: make a fire — Explanation
den Motor zünden: den Motor einschalten	to ignite the engine: to turn on the engine — Explanation
das Tor ist verschlossen	the gate is locked — Phrase
sie schlagen die Fenster ein	they smash the windows — Phrase, Verb (einschlagen)
die Fenster zerbrechen	the windows break — Phrase, Verb (zerbrechen)
geklaut/ gestohlen	stolen — Adjective, Participle
er wurde überfallen	he was mugged — Phrase, Verb (überfallen)
die Autobahn, die Autobahnen (PL)	the highway, highways — Noun, Feminine
die S-Bahn	suburban train — Noun, Feminine
sie streiken	they are on strike — Phrase, Verb (streiken)
Uber nimmt mehr als 50% Provision	Uber takes more than 50% commission — Phrase
besorgt	worried — Adjective
sie sind aufdringlich	they are intrusive — Phrase, Adjective
er hat diese Nummer abgezogen	he pulled this number — Phrase, Verb (abziehen), slang
er hat sich genauso verhalten	he behaved the same way — Phrase, Verb (verhalten)
ich habe einen Freund, der Muslim ist	I have a friend who is Muslim — Phrase
zur Viktorianischen Ära	to the Victorian era — Phrase
die Waden	the calves — Noun, Plural, Feminine
die Knöchel	the ankles — Noun, Plural, Masculine
unterhalb des Nackens/ Halses	below the neck — Phrase
