der Halbjahresbericht	The semi-annual report — Noun, masculine (Maskulinum)
der Lebensunterhalt	The livelihood — Noun, masculine (Maskulinum)
Er trägt Verantwortung für	He is responsible for — Phrase
Tim unterhält eine Bäckerei	Tim runs a bakery — Sentence
das Gehalt/der Lohn	The salary/wage — Nouns; Gehalt is neutral (Neutrum), Lohn is masculine (Maskulinum)
konkurrenzfähig	competitive — Adjective
die Konkurrenz	The competition — Noun, feminine (Femininum)
Forciert	Forced — Adjective
Es sollte nicht von den Eltern erwartet werden	It should not be expected from the parents — Sentence
Das Gefühl haben, verpflichtet zu sein	To feel obliged — Phrase
"Das Wort ""erfolgreich"" kann sich auf die Karriere beziehen"	"The word ""successful"" can refer to the career — Sentence"
Ich hatte gute Noten	I had good grades — Sentence
Wir wurden miteinander verglichen	We were compared with each other — Sentence
die Lebenserwartung	The life expectancy — Noun, feminine (Femininum)
nachhaltig	sustainable — Adjective
Alle drei	All three — Phrase
Trotz und wegen	Despite and because of — Phrase
die Geborgenheit = Liebe + Sicherheit (in der Familie, zuhause)	The security = Love + Safety (in the family, at home) — Noun, feminine (Femininum), Explanation
„Von klein auf“ = seit meiner Kindheit	“From a young age” = since my childhood — Phrase
Verständnis haben für	To have understanding for — Phrase
Macht auf jemanden ausüben	To exert power over someone — Phrase
Er durfte keine Entscheidungen in Bezug auf den Betrieb treffen	He was not allowed to make decisions regarding the operation — Sentence
Er hat 8 Jahre lang dort gearbeitet	He worked there for 8 years — Sentence
