Sich selbst ausdrücken	To express oneself — Verb phrase
Sich zu etwas aufraffen	To bring oneself to do something — Verb phrase
Etwas nervt mich	Something annoys me — Expression
die Ausrede	The excuse = 'Apology' for not doing something — Noun, feminine (die)
Loslegen	To start — Expression for starting an activity
der Zustand	The condition — Noun, masculine (der)
Sein Zustand hat sich verschlechtert.	His condition has worsened. — Sentence
der Zweck	The purpose = the hoped-for result — Noun, masculine (der)
zahm	Tame — Adjective
Höhlentauchen	Cave diving — Noun, neuter (das)
die Höhle	The cave — Noun, feminine (die)
der Rochen	The ray — Noun, masculine (der)
die Hülle	The cover — Noun, feminine (die)
Sich verhüllen	To cover oneself — Verb phrase
die Höhle	Cave — Noun, feminine (die)
die Gliedmaßen	Arms + legs = the limbs — Noun, plural
das Erbstück	The heirloom — Noun, neuter (das)
der Wertgegenstand	The valuable item — Noun, masculine (der)
Die Spiele sind mit viel Herzblut gemacht	The games are made with a lot of passion — Sentence
die Decke	The ceiling — Noun, feminine (die)
der Kunstfilm	The art film — Noun, masculine (der)
Die Mischung macht's	It's the mix that matters — Expression
Binnen/innerhalb von	Within — Preposition/expression
die Binnenschifffahrt	The inland navigation — Noun, feminine (die)
Er hat gut abgeschnitten	He did well — Sentence
der Oberkörper	The upper body — Noun, masculine (der)
Aufspüren	To track down, to find something — Verb/expression
Mir fällt es leicht	I find it easy — Expression
satt	Full = not hungry anymore — Adjective/expression
die Beilage	The side dish — Noun, feminine (die)
der Ballaststoff	The dietary fiber — Noun, masculine (der)
Zu sich nehmen/sich von etwas ernähren	To consume/to nourish oneself with something — Verb phrase
der Herzinfarkt	The heart attack — Noun, masculine (der)
das Mehl	The flour — Noun, neuter (das)
