jemandem Geborgenheit geben	to give someone a sense of security — Phrase
in Konkurrenz zu anderen stehen	to be in competition with others — Phrase
jemanden unter Druck setzen	to put someone under pressure — Phrase
die Erwartungen anderer Menschen erfüllen	to meet the expectations of other people — Phrase
auf jemanden Macht ausüben	to exert power over someone — Phrase
jemandem Respekt zeigen	to show someone respect — Phrase
Ich bin ganz Ihrer Meinung.	I completely agree with you. — Full sentence
Da haben Sie völlig recht.	You are absolutely right there. — Full sentence
Wie kommen Sie denn auf diese Idee?	How did you come up with this idea? — Full sentence
Ich bin davon überzeugt, dass …	I am convinced that ... — Full sentence, the continuation is necessary for full context.
Ich bin der Ansicht, dass …	I am of the opinion that ... — Full sentence, the continuation is necessary for full context.
