er ist einem normalen Kürbis sehr ähnlich	he is very similar to a normal pumpkin — Satz
er ist fast genau so wie ein normaler Kürbis	he is almost exactly like a normal pumpkin — Satz
man schneidet sie in der Mitte durch	one cuts it in the middle — Satz
dann kann man die beiden Kürbishälften in den Backofen tun/ schieben	then you can put/slide the two pumpkin halves into the oven — Satz
bei 220 Grad	at 220 degrees — Phrase
dann ist er weich	then he is soft — Satz
auslöffeln	to scoop out — Verb
in Würfel schneiden	to cut into cubes — Phrase
bequem	comfortable — Adjektiv
viel anderes gesundes Essen	many other healthy foods — Phrase
weil man etwas Butter hinzufügen kann	because you can add some butter — Satz
Ich stimme dir zu.	I agree with you. — Satz
Genau!	Exactly! — Interjektion
ich nehme mir die Zeit	I take the time — Satz
an einem besonderen Tag	on a special day — Phrase
