viele kulturelle Unterschiede	many cultural differences — Adjektiv + Substantiv (Plural)
ich bin ganz Feuer und Flamme	I am really enthusiastic — Redewendung
ich bin sehr sehr begeistert	I am very very excited — Satz (Verstärkung)
begeistert von etwas (Dativ)	enthusiastic about something — Adjektivphrase
inneren Frieden finden	to find inner peace — Verbalphrase
etwas Positives	something positive — Neutrales Substantiv (etwas + Adjektiv im substantivierten Zustand)
großartig	great — Adjektiv
Der Mathematiker beweist den Menschen den Satz von Pythagoras.	The mathematician proves the Pythagorean theorem to the people. — Satz
Die Reiseagentur bietet der Kundin eine schöne Reise.	The travel agency offers the customer a nice trip. — Satz
Der Hund bringt seinem Herrchen die Zeitung.	The dog brings its owner the newspaper. — Satz
männliche Person, die einen Hund zur Haustierhaltung besitzt	male person who owns a dog as a pet — Beschreibung
Der Kellner empfiehlt den Gästen den Avocadoburger.	The waiter recommends the avocado burger to the guests. — Satz
Die Schülerin erklärt dem Lehrer die Grammatik.	The student explains the grammar to the teacher. — Satz
Die Oma erzählt dem Enkel ein Märchen.	The grandmother tells the grandson a fairy tale. — Satz
Grimms Märchen	Grimm's fairy tales — Buchtitel
die Gebrüder Grimm	the Brothers Grimm — Name
der Schokoriegel	the chocolate bar — Maskulines Substantiv
die Frau gibt ihrem Freund einen Schokoriegel	the woman gives her friend a chocolate bar — Satz
"""Guten Freunden gibt man ein Küsschen"""	"""You give a little kiss to good friends"" — Werbeslogan"
Ferrero Küsschen	Ferrero Küsschen — Produktname
Das Letzte	the last one — Neutrales Substantiv
Der letzte Satz	the last sentence — Maskulines Substantiv
fürs Erste	for the time being — Redewendung
für die erste Zeit	for the first time — Redewendung
